geographicAreaM49Partner,partner_name
"112",Belarus
"124",Canada
"144",Sri Lanka
"158","China,Taiwan"
"242",Fiji
"356",India
"36",Australia
"364",Iran (Islamic Republic of)
"458",Malaysia
"516",Namibia
"554",New Zealand
"566",Nigeria
"608",Philippines
"643",Russian Federation
"710",South Africa
"72",Botswana
"756",Switzerland
"792",Turkey
"800",Uganda
"862",Venezuela (Bolivarian Republic of)
"204",Benin
"340",Honduras
"392",Japan
"410",Republic of Korea
"508",Mozambique
"558",Nicaragua
"646",Rwanda
"70",Bosnia and Herzegovina
"804",Ukraine
"834",United Republic of Tanzania
"104",Myanmar
"116",Cambodia
"12",Algeria
"120",Cameroon
"1248","China, Main"
"140",Central African Republic
"148",Chad
"152",Chile
"16",American Samoa
"170",Colombia
"174",Comoros
"178",Congo
"180",Democratic Republic of the Congo
"188",Costa Rica
"191",Croatia
"192",Cuba
"196",Cyprus
"203",Czechia
"208",Denmark
"212",Dominica
"214",Dominican Republic
"218",Ecuador
"222",El Salvador
"231",Ethiopia
"233",Estonia
"238",Falkland Islands (Malvinas)
"24",Angola
"246",Finland
"250",France
"258",French Polynesia
"262",Djibouti
"268",Georgia
"270",Gambia
"276",Germany
"288",Ghana
"300",Greece
"308",Grenada
"31",Azerbaijan
"32",Argentina
"320",Guatemala
"324",Guinea
"328",Guyana
"344","China,H.Kong"
"348",Hungary
"352",Iceland
"360",Indonesia
"368",Iraq
"372",Ireland
"376",Israel
"380",Italy
"384",Côte d'Ivoire
"388",Jamaica
"398",Kazakhstan
"4",Afghanistan
"40",Austria
"400",Jordan
"404",Kenya
"408",Democratic People's Republic of Korea
"414",Kuwait
"417",Kyrgyzstan
"418",Lao People's Democratic Republic
"422",Lebanon
"428",Latvia
"430",Liberia
"44",Bahamas
"440",Lithuania
"442",Luxembourg
"450",Madagascar
"454",Malawi
"462",Maldives
"470",Malta
"478",Mauritania
"480",Mauritius
"484",Mexico
"496",Mongolia
"498",Republic of Moldova
"499",Montenegro
"50",Bangladesh
"504",Morocco
"51",Armenia
"512",Oman
"52",Barbados
"524",Nepal
"528",Netherlands
"530",NethAntilles
"56",Belgium
"578",Norway
"586",Pakistan
"591",Panama
"598",Papua New Guinea
"60",Bermuda
"600",Paraguay
"604",Peru
"616",Poland
"620",Portugal
"642",Romania
"662",Saint Lucia
"670",Saint Vincent and the Grenadines
"68",Bolivia (Plurinational State of)
"682",Saudi Arabia
"686",Senegal
"688",Serbia
"690",Seychelles
"694",Sierra Leone
"702",Singapore
"703",Slovakia
"704",Viet Nam
"705",Slovenia
"706",Somalia
"716",Zimbabwe
"724",Spain
"729",Sudan
"736",Sudan (former)
"740",Suriname
"748",Swaziland
"752",Sweden
"76",Brazil
"760",Syrian Arab Republic
"762",Tajikistan
"764",Thailand
"768",Togo
"784",United Arab Emirates
"788",Tunisia
"795",Turkmenistan
"796",Turks and Caicos Islands
"8",Albania
"807",The former Yugoslav Republic of Macedonia
"818",Egypt
"826",United Kingdom
"84",Belize
"840",United States of America
"854",Burkina Faso
"858",Uruguay
"860",Uzbekistan
"876",Wallis and Futuna Islands
"894",Zambia
"92",British Virgin Islands
"108",Burundi
"132",Cabo Verde
"136",Cayman Islands
"175",Mayotte
"184",Cook Islands
"226",Equatorial Guinea
"232",Eritrea
"234",Faroe Islands
"266",Gabon
"275",Palestine(1996-)
"28",Antigua and Barbuda
"316",Guam
"332",Haiti
"434",Libya
"446","China, Macao"
"466",Mali
"48",Bahrain
"520",Nauru
"533",Aruba
"548",Vanuatu
"562",Niger
"584",Marshall Islands
"624",Guinea-Bissau
"634",Qatar
"64",Bhutan
"659",Saint Kitts and Nevis
"678",Sao Tome and Principe
"776",Tonga
"780",Trinidad and Tobago
"798",Tuvalu
"887",Yemen
"100",Bulgaria
"296",Kiribati
"90",Solomon Islands
"96",Brunei Darussalam
"20",Andorra
"336",Holy See
"666",Saint Pierre and Miquelon
"772",Tokelau
"166",Cocos Is
"654","Saint Helena, Ascension and Tristan da Cunha"
"292",Gibraltar
"304",Greenland
"580",N Marianas
"674",San Marino
"732",Westn Sahara
"10",Antarctica
"612",Pitcairn Is
"531",Curaçao
"540",New Caledonia
"570",Niue
"574",Norfolk Is
"882",Samoa
"162",Christmas Is
"260",Fr South Ter
"500",Montserrat
"626",Timor-Leste
"660",Anguilla
"86",Br Ind Oc Tr
"583",Micronesia (Federated States of)
"585",Palau
"728",South Sudan
"426",Lesotho
"534",Sint Maarten
"891",Serbia-Monte(1992-2005)
